Country
Algeria
Angola
Ant Atoll
Ant Atoll / Pohnpei
ANTIGUA & BARBUDA
Antigua and Barbuda
Argentina
ARGENTINA | CHILE
Armenia
"Arno Atoll, Ejit Island"
Aruba
Australia
Australia | Asia | Florida
AUSTRALIA | ASIA | U.S.A.
AUSTRALIA TERRITORY: COCOS ISLANDS
Austria
AUSTRIA
AUSTRIA | BOSNIA | HUNGARY
AUSTRIA | HERZEGOVINA | HUNGARY
Babelthaup
Babelthuap Island
Bahamas
Bahamas | Virgin Islands
Bangladesh
Barbados
Barbados
Belgium
Belize
BENIN
Bermuda
BHUTAN
Bolivia
BORNEO
BOSNIA
Brazil
British Crown Dependency: Bailiwick of Guernsey
British Indian Ocean Territory
British Indian Ocean Territory: Diego Garcia
British Overseas Territories
British Overseas Territory: Anguilla
British Overseas Territory: Bermuda
British Overseas Territory: Bermuda | West Indies
BRITISH OVERSEAS TERRITORY: BRITISH WEST INDIES
British Overseas Territory: Cayman Islands
British Overseas Territory: Falkland Islands
British Overseas Territory: Gibraltar
BRITISH OVERSEAS TERRITORY: GRAND CAYMAN
BRITISH OVERSEAS TERRITORY: SAINT LUCIA
BRITISH OVERSEAS TERRITORY: SAINT VINCENT AND THE GRENADINES
BRITISH OVERSEAS TERRITORY: SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS
"British Overseas Territory: St. Helena, Ascension and Tristan de Cunha"
"British Overseas Territory: St. Helena, Ascension, and Tristan de Cunha"
British Overseas Territory: St. Lucia
BRITISH OVERSEAS TERRITORY: TURKS & CAICOS
British Overseas Territory: Turks and Caicos
British Overseas Territory: Virgin Islands
British Somaliland
Brunei
BURKINA FASO
Burma
Cambodia
Cameroon
Canada
Cape Verde
CENTRAL AFRICAN REPUBLIC
CHAD
Channel Islands
Chile
China
Colombia
COLOMBIA | DOMINICAN REPUBLIC | BARBADOS
Colombia.
Commonwealth of Puerto Rico
Commonwealth of the Bahamas
Cook Islands
Cook Islands
Corisco
Costa Rica
country uncertain
CROATIA
CROATIA | HUNGARY
Cuba
CUBA | WEST INDIES
CURAÇAO
Dahlak Island
Democratic Republic of the Congo
Democratic Republic of the Congo | Zambia
DENMARK
DENMARK TERRITORY: GREENLAND
Dissei Island
Djibouti
Dominica
Dominican Republic
DOMINICAN REPUBLIC | JAMAICA
Ecuador
Egypt
El Salvador
England
Equatorial Guinea
ERITREA
ETHIOPIA
Fantome Island
Farquhar Island
Fed States of Micronesia
Federated States of Micronesia
Fiji
France
France | Belgium
France Collectivity: Polynesia
France Overseas Territory: Guadeloupe
FRANCE OVERSEAS TERRITORY: MARTINIQUE
French Collectivity: New Caledonia
French Collectivity: Saint-Barthelemy
French Overseas Department: Mayotte
French Overseas Territory: Clipperton Island
French Polynesia
GABON
GERMANY
GHANA
GREECE
Green Island
GREENLAND
Greenland | Norway | British Islands
Grenada
GUATEMALA
Guyana
Haiti
HAWAII
HOLLAND
HONDURAS
HONG KONG
HUNGARY
Iceland
India
Indonesia
IRAQ
Ireland
Israel
Italy
ITALY
Ivory Coast
Jamaica
Japan
JAVA
Joy Island
KASHMIR
Kebir Island
Kenya
Kiribati
Koror
"Koror, Babelthaup"
LAOS
Liberia
Madagascar
Majuro Atoll
"Majuro Atoll, Anemwanot Island"
"Majuro Atoll, Arno Atoll"
"Majuro Atoll, Ejit Island"
"Majuro Atoll, Long Island"
MALAWI
Malaysia
Maldives
Marshall Islands
MARTINIQUE
Massawa Channel Island
Mauritius
Mexico
MEXICO
MICRONESIA
Midway Island
MONACO
MONGOLIA
Morocco
Mozambique
Myanmar
NAMIBIA
NAPLES
NATAL
Netherlands Antilles
NETHERLANDS ANTILLES: CURAÇAO
Netherlands Municipality: Bonaire
Netherlands Municipality: Bonaire
