row,content_date
3954,20-dic-93
4203,27-ago-97
4223,22-dic-89
4344,04-ene-90
4347,15-abr-85
4351,30-dic-86
4355,30-dic-86
4356,30-dic-86
4368,15-abr-85
4378,15-abr-85
4379,15-abr-85
4380,15-abr-85
4381,30-dic-86
4387,30-dic-86
4393,12-abr-90
4396,10-ago-90
4407,15-abr-85
4408,22-dic-89
4412,22-dic-89
4433,30-dic-86
4448,dic-85
4451,18-ago-88
4467,22-dic-89
4492,30-dic-86
4508,22-dic-89
4509,15-dic-86
4514,30-dic-86
4518,22-dic-89
4520,22-dic-89
4522,"March l7, l986"
4523,"March l7, l986"
4524,"March 17, l986"
4526,30-dic-86
4527,20-ago-87
4534,22-dic-89
4536,30-dic-86
4537,30-dic-86
4546,22-dic-89
4549,01-dic-89
4555,22-dic-89
4556,22-dic-89
4559,dic-86
4565,20-ago-87
4589,30-dic-86
4593,20-ago-87
4594,20-ago-87
4608,dic-85
4609,30-dic-86
4610,30-dic-86
4618,dic-85
4620,20-ago-87
4627,15-abr-85
4628,30-dic-86
4630,15-abr-85
4632,30-dic-86
4637,22-dic-89
4640,22-dic-89
4641,30-dic-86
4644,30-dic-86
4651,22-dic-89
4653,22-dic-89
4655,15-abr-85
4657,22-dic-89
4660,25-ene-89
4662,17-ago-90
4678,12-abr-90
4679,15-abr-85
4690,20-ago-87
4691,30-dic-86
4692,30-dic-86
4712,"March l7, l986"
4720,"March l7, 1986"
4725,dic-85
4726,dic-85
4727,30-dic-86
4740,15-abr-85
4744,22-dic-89
4745,22-dic-89
4749,20-ago-87
4763,22-dic-89
4764,22-dic-89
4787,30-dic-86
4794,30-dic-86
4801,10-ago-90
4815,30-dic-86
4817,20-ago-87
4819,30-dic-86
4820,20-ago-87
4821,30-dic-86
4822,30-dic-86
4823,20-ago-87
4824,30-dic-86
4828,22-dic-89
4830,20-ago-87
4831,20-ago-87
4832,10-abr-88
4833,20-ago-87
4835,20-ago-87
4836,20-ago-87
4837,30-dic-86
4840,22-dic-89
4841,22-dic-89
4842,22-dic-89
4843,22-dic-89
4844,22-dic-89
4845,22-dic-89
4846,22-dic-89
4847,22-dic-89
4848,22-dic-89
4849,22-dic-89
4850,22-dic-89
4851,22-dic-89
4852,22-dic-89
4853,22-dic-89
4855,30-dic-86
4857,10-abr-88
4858,22-dic-89
4861,30-dic-86
4862,30-dic-86
4863,30-dic-86
4875,30-dic-86
4878,30-dic-86
4885,30-dic-86
4896,22-dic-89
4897,dic-88
4898,dic-88
4899,dic-88
4900,dic-88
4901,dic-88
4902,dic-88
4903,dic-88
4904,dic-88
4905,dic-88
4906,dic-88
4907,22-dic-89
4908,22-dic-89
4927,22-dic-89
4928,dic-85
4931,22-dic-89
4933,dic-88
4934,dic-88
4935,dic-88
4936,dic-88
4937,dic-88
4938,dic-88
4939,dic-88
4940,dic-88
4941,dic-88
4942,dic-88
4943,dic-88
4945,22-dic-89
4946,dic-88
4947,30-dic-86
4949,22-dic-89
4950,dic-88
4951,dic-88
4952,dic-88
4953,dic-88
4954,dic-88
4955,dic-88
4956,dic-88
4957,dic-88
4958,dic-88
4959,dic-88
4960,dic-88
4961,dic-88
4962,dic-88
4963,dic-88
4964,dic-88
4965,dic-88
4966,dic-88
4967,dic-88
4968,dic-88
4969,dic-88
