Tracking Number,Lat,Lng
M15942,56,10
M27113,,
M61203,-31.3096,18.357
M61204,-31.3096,18.357
M54875,13,122
M66420,39.76,-98.5
M46888,9,-80
M41985,23,-102
M55736,13,122
M85302,49.1,1.96667
M89994,-6.16394,39.19793
M89995,-6.16394,39.19793
M39921,23,-102
M54887,13,122
M61516,-29,24
M61517,-29,24
M46587,21,57
M51221,13,122
M55721,13,122
M82579,39.76,-98.5
M90433,,
M90556,,
M54878,13,122
M66409,39.76,-98.5
M66421,39.76,-98.5
M66488,39.76,-98.5
M43571,41.66121,-72.77954
M61712,-29,24
M66436,39.76,-98.5
M66572,39.76,-98.5
M61708,-29,24
M55459,13,122
M66598,39.76,-98.5
M55538,13,122
M31952,19.42847,-99.12766
M46959,9,-80
M49257,9,-80
M69671,39.76,-98.5
M69672,39.76,-98.5
M79350,39.76,-98.5
M24228,31.5,34.75
M59534,-17,-150
M66413,39.76,-98.5
M31653,-20.3,57.58333
M31654,-20.3,57.58333
M59946,-8,159
M43993,-21.5,165.5
M68760,39.76,-98.5
M68761,39.76,-98.5
M85304,49.1,1.96667
M83590,39.76,-98.5
M66475,39.76,-98.5
M66390,39.76,-98.5
M25256,40.69149,-73.80569
M25257,40.69149,-73.80569
M66389,39.76,-98.5
M66448,39.76,-98.5
M66491,39.76,-98.5
M30663,,
M46853,9,-80
M66383,39.76,-98.5
M66396,39.76,-98.5
M55092,13,122
M70141,39.76,-98.5
M70142,39.76,-98.5
M66368,39.76,-98.5
M66422,39.76,-98.5
M66450,39.76,-98.5
M66451,39.76,-98.5
M66486,39.76,-98.5
M66839,39.76,-98.5
M71125,39.76,-98.5
M84427,39.76,-98.5
M30487,-20,47
M55542,13,122
M15000,22,-79.5
M15001,22,-79.5
M15002,22,-79.5
M15003,22,-79.5
M15004,22,-79.5
M15005,22,-79.5
M15006,22,-79.5
M15007,22,-79.5
M15008,22,-79.5
M15009,22,-79.5
M15010,22,-79.5
M15011,22,-79.5
M15012,22,-79.5
M15013,22,-79.5
M15014,22,-79.5
M15015,22,-79.5
M15016,22,-79.5
M15017,22,-79.5
M15018,22,-79.5
M15019,22,-79.5
M15020,22,-79.5
M15021,22,-79.5
M15022,22,-79.5
M15023,22,-79.5
M15024,22,-79.5
M15025,22,-79.5
M15026,22,-79.5
M15027,22,-79.5
M15028,22,-79.5
M15029,22,-79.5
M15030,22,-79.5
M15031,22,-79.5
M15032,22,-79.5
M15033,22,-79.5
M15034,22,-79.5
M15035,22,-79.5
M15036,22,-79.5
M15037,22,-79.5
M15038,22,-79.5
M15039,22,-79.5
M15040,22,-79.5
M15041,22,-79.5
M15042,22,-79.5
M15043,22,-79.5
M15044,22,-79.5
