EMu Catalog IRN,CatPrefix,CatNumber,CatSuffix,BioParticipantString,BioDateVisitedFrom,BioDateVisitedTo,ClaOrder,ClaFamily,ClaGenus,ClaSpecies,ClaSubspecies,EMU Localities IRN,AquBottomDepthFromMet,AquBottomDepthToMet,AquDepthFromMet,AquDepthToMet,AquDistanceFromShoreMet,AquDistanceFromShoreToMet,DraDrainage,DraDrainageSeaGulf,DraPrimaryTributary,DraQuaternaryTributary,DraRiverBasin,DraSecondaryTributary,DraTertiaryTributary,LatDeriveCentroid_tab,LatPreferred_tab,LocArchipelago,LocBaySound,LocContinent,LocContinentalShelfRegion,LocCountry,LocDistrictCountyShire,LocIslandGrouping,LocIslandName,LocNearestNamedPlace,LocNoFurtherLocalityData,LocOcean,LocPreciseLocation,LocProvinceStateTerritory,LocSeaGulf,LocSiteName_tab,LocTownship,TerElevationFromMet,TerElevationToMet,TerVerbatimElevation,LatPreferredCentroidLatDec,LatPreferredCentroidLongDec
3509542,R,43987,,,1929,1929,Squamata,Hydrophiidae,Laticauda,colubrina,,3050864,,,,,,,,,,,,,,,,,,Oceania,,Papua New Guinea,,Solomon Ids [archipelago],Bougainville,,,,,[Bougainville],,,,,,,,
3505327,R,42008,,Rollo H. Beck,1928,1928,Squamata,Hydrophiidae,Laticauda,colubrina,,3047864,,,,,,,,,,,,,,,,,,Oceania,,Papua New Guinea,,Solomons [ = Solomon Islands archipelago],Bougainville,,,,,[Bougainville],,,,,,,,
3505329,R,42009,,Rollo H. Beck,1928,1928,Squamata,Hydrophiidae,Laticauda,colubrina,,3047864,,,,,,,,,,,,,,,,,,Oceania,,Papua New Guinea,,Solomons [ = Solomon Islands archipelago],Bougainville,,,,,[Bougainville],,,,,,,,
3581301,R,3902,,Maximilian,,,Squamata,Hydrophiidae,Laticauda,laticaudata,,3057181,,,,,,,,,,,,,,,,,,No Data,,No Data,,,,,,,,,,,,,,,,
3578156,R,14179,,Malcolm A. Smith M.D.,,,Squamata,Hydrophiidae,Lapemis,curtus,,3056788,,,,,,,,,,,,,,,,,,Asia,,,,,,,,,,,Gulf of Siam,,,,,,,
3603117,R,81861,,,1958-12-31,1958-12-31,Squamata,Hydrophiidae,Disteira,schistosa,,3060195,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,Coastal waters nr Karachi,Islamabad,,,,,,,,
3625493,R,85590,,Robert Brewer,1960-12-11,1960-12-11,Squamata,Hydrophiidae,Pelamis,platurus,,3063844,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,sandpit nr Karachi Harbor,Karachi,,,,,,,,
3626700,R,86172,,,1960-11-14,1960-11-14,Squamata,Hydrophiidae,Hydrelaps,darwiniensis,,3064076,,,,,,,,,,,,,,,,,,Oceania,,Australia,,,,,,,Broome,Western Australia,,,,,,,,
3626703,R,86173,,,1960-10-25,1960-10-25,Squamata,Hydrophiidae,Disteira,stokesii,,3064040,,,,,,,,,,,,,,,,,,Oceania,,Australia,,,,,,,"Karumba, N Queensland",Queensland,,,,,,,,
3626713,R,86177,,,1960-12-05,1960-12-05,Squamata,Hydrophiidae,Aipysurus,laevis,,3064077,,,,,,,,,,,,,,,,,,Oceania,,Australia,,,,,,,"Roebuck Bay, nr Broome",Western Australia,,,,,,,,
3629808,R,87680,,,1960-07-30,1960-07-30,Squamata,Hydrophiidae,Hydrophis,macdowelli,,3064690,,,,,,,,,,,,,,,,,,Oceania,,Australia,,,,,,,"Normanton, Lower Norman River, Northern Queensland",Queensland,,,,,,,,
3493590,R,92707,,Sherman A. Minton,,,Squamata,Hydrophiidae,Hydrophis,gracilis,,3049039,,,,,,,,,,,,,,,,,,Asia,,Pakistan,,,,,,,"Karachi Dist, Korangi Creek (nr Karachi)",,,,,,,,,
3453395,R,117775,,Francois Vuilleumier,1978-02-07,1978-02-07,Squamata,Hydrophiidae,Laticauda,colubrina,,3043710,,,,,,,,,,,,,,,,,,Oceania,,New Caledonia,,,,,,,"'Tje' islet (or 'Sabot de la Reine'), nr Kuto peninsula, southern Isle of Pines",,,,,,,,,
