 
 Cebu
 Guaymas
2.6 m. SSE of Fenton,
2.6 mi. SSE of Fenton, Meramec River,
2.6 mi. SSE of Frenton,
2.6 miles SSE of Fenton
2.6 miles SSE of Fenton,
2.6 miles SSE of Frenton,
2.6 miles SSE of Frenton, Meramec River,
2.9 nautical mi SE Little Egg Inlet,
20 deg. 09'N, 80 deg. 15'W
20 fathoms west of Key West,
20 fathoms,
20 km. off Chojnice,
20 meters off Boso Peninsula,
20 mi. S. of San Felipe,
20 miles off Cape Canaveral,
20 miles off Tampa,
20 miles off mouth of Limpop River,
20 miles south of Halifax,
20 miles south of Puerto Citas,
20 miles south of San Felipe
20 miles south of St. Augustine,
20 miles west,
200 miles north of Mogadisho,
200-250 feet south of La Paz,
208 fathoms,
210 meters,
23"29'30 N., 109"25'30" W.
24 01.116'N, 80 22.046'W, Sand Island
24 19.882'N,81 53.500'W, Sand Key transt
24 27' 468"N, 82 11' 039"W, Cosgrove Shoal, Marquesas Keys
24 27.547'N, 82 12.339'W, Maroquesas Rock
24 30' 98"N, 82 28' 29"W to 24 30' 78"N, 82 28' 26"W S of Halfmoon Shoal
24 30.009'N, 82 59.914'W to 24 29.970'N, 82 59.687'W
24 31.41'N, 81 31.14'W, American Shoals
24 33.16'N, 81 46.64'W
24 34.24'N, 81 16.64'W, W of Looe Key rf
24 37' 790"N, 82 55' 400"W,S of Beach of Loggerhead Key, Dry Torugas 
24 38.970'N, 82 51.284'W, Hospital Key
24 39' 49"N, 81 00' 32"W, Samantha's patch reef, ca. 5 nmi E of Marathon 
24 39'19"N, 81 18'13"W, The Horseshoe
24 40' 92"N, 80 58' 26"W, Coffins Patch Sanctuary Preservation Area, off Crawl Key
24 40.92'N, 80 58.26'W, off Crawl Key
24 42.353'N, 81 22.822'W, Big Pine Key
24 44.022'N,81 02.785'W, Marathon
24 53'25"N,80 40'28"W, Indian Key Fill
24 54' 138"N, 80 31' 843"W, Crocker Reef
24 56.099'N, 80 32.920'W, Plantation Key
24 59.67'N, 80 31.72'W
24 nautical miles south Vaca Key,
24deg.36.38'N, to 81deg.39.18'W, unnamed bay,
25 01.311'N, 80 23.774'W
25 03' 055"N, 80 28' 220"W, N of Dove Key, oceanside of Key Largo
25 03.011'N, 80 28.163'W, off Dove Key
25 03.055'N, 80 28.220'W, NE of Dove Key
25 Km of Eilat,
25 Km south West of Eilat,
25.1¦N, 84.2¦W,
25deg.03.6-03.5'N, to 80deg.30.0-30.2'W, Tavernier
25¦1'N, 84¦2'W, 500 ft.
28 mi. SE of Mayport,
28 mi.SE of Mayport,
28 miles SE of Mayport,
28'.7N - 94'.55W to 28'.13N - 94'.57W,
2ND Island North of Big Marco Pass,
2mi S Akutan Island,
3 m. N.N.E.
3 m. SE of Fenton,
3 m.north by east,East Lighthouse Is.
3 meters north by east Lighthouse Island,
3 mi off Rockaway Beach, Queens Co.,
3 mi offshore, St.Catherines Island,
3 mi. So. Punto Dabk,
3 miles E. Middleburg, Black Creek,
3 miles N by E Lighthouse Island,
3 miles NNE of Nossi Fali,
3 miles South of Murfreesboro,
3 miles north of Puertocitas
3 miles north of The Haven,
3 miles south of Yule Island,
3" to 3' Mangrove Island
3-4 mi offshore, Monmouth Co.,
3-5 miles West of mazatlan Harbor
3. mi. S. of Punto Doble,
30 Fathoms,
30 Mi. east off Port Canaveral,
30 Mi.E. of Cape Canaveral,
30 km.South,
30 mi. E. of Port Canaveral,
30 mi. S. of San Felipe,
30 miles east of Port Canaveral,
30 miles off Cape Canaveral,
30 miles off Santa Rosalia
30 miles south of Key West,
30 miles south of Mazatlan,
30 miles south of Puertocitas
30 miles west,
30' off Homosassa
30-06'N, 114.02 W.
30-100 fathoms,
300 feet West of Egmont Key
300 feet West of Egmont Key,
