PrepIRN	CatPrefix	CatNumber	CatSuffix	BioDateVisitedFrom	BioDateVisitedTo	ExpExpeditionName	BioParticipantString	ClaOrder	ClaFamily	ClaGenus	ClaSpecies	ClaSubspecies	LocContinent	LocCountry	LocDistrictCountyShire	LocIslandGrouping	LocIslandName	LocOcean	LocPreciseLocation	LocProvinceStateTerritory	LocSeaGulf	LocTownship	TerElevationFromMet	TerElevationToMet	TerVerbatimElevation	LatPreferredCentroidLatDec	LatPreferredCentroidLongDec
5523543	SKIN	476319		12 Dec 1899			Selwyn Branch	Cuculiformes	Cuculidae	Coccyzus	minor	dominicae		West Indies					Roseau Valley, Dominica I.								
6364773	SKIN	60701		24 Feb 1894		Museum Expedition	F. M. Chapman	Passeriformes	Thraupidae	Coereba	bartholemica			Dominica					Roseau								
6364771	SKIN	60700		23 Feb 1894		Museum Expedition	F. M. Chapman	Passeriformes	Thraupidae	Coereba	bartholemica			Dominica					Roseau								
6364769	SKIN	60699		21 Feb 1894		Museum Expedition	F. M. Chapman	Passeriformes	Thraupidae	Coereba	bartholemica			Dominica					Roseau								
6364767	SKIN	60698		16 Feb 1894		Museum Expedition	F. M. Chapman	Passeriformes	Thraupidae	Coereba	bartholemica			Dominica					Roseau								
6047342	SKIN	216395		07 May 1901			A. S. Meek			Coryphoenas	crassirastris		Oceania	Solomon Islands			Guadalcanal	South Pacific		Guadalcanal Province							
5509615	SKIN	469009		1897						Crypturus	soui	andrei		Venezuela					Cumana, E. Musea Dalmas								
5515085	SKIN	471689		17 Apr 1892			Barton			Dendragopus	obscurus	fuliginosus	North and Central America	USA					Seattle	Washington							
6078468	SKIN	193257		1902			W. A. Bryan			Diomedia	immutabilis								Marcus I., N.W. Pacific								
6084210	SKIN	196258		24 Jun 1903			A. Seale			Eclectes	pectoralis		Oceania	Solomon Islands		Shortland Islands	Shortland Island	South Pacific		Western Province							
6364741	SKIN	60685		16 Feb 1894		Museum Expedition	F. M. Chapman			Elainea	p.	martinica		Dominica					Roseau								
